,content,num_like
108,唉。我实在是不理解为什么鬼谷为啥会想到增加难度这种穷途末路的操作。真的令人智息。在这内容为王的时代，你说你的更新化神增加了获取材料内容，这个我不反对。之前的化神材料作废，也无可厚非，但是你偏偏想到削弱角色强度，增加游戏难度，我真是很服气。反正我是开开心心的进八荒，过了几个小时生无可恋的的关闭游戏。如果你洪荒难度是用来恶心人，而不是让人体验游戏的快乐的话。那我只能说你成功了。我用了修改器把自己的逆天改命改到最好，功法武技神通绝技全TMD是红的，抗不过boss两招，而且boss还是全屏攻击。唉我只想说，你是在逼我用一击必杀啊。那这样这个游戏的乐趣又有何在？如果我真的喜欢一击必杀我又何必在先让boss杀我十几次？真的是服气,193
109,能和精卫结缘吗？如果不能，那我并不是很认可你这次更新[傲娇],5437
110,制作组还是没有get到点，刷刷刷是真的无聊，这搞得主角突破这么难，其他人莫名其妙就能化神，真没意思。这种游戏最重要的营造沉浸感啊，大家玩的开心都是各种脑补的故事，最需要的是一个鲜活的世界，而不是纯粹数值堆砌的网游既视感[tv_吐血]需要不存在主角的世界，各种运转逻辑依旧能够自圆其说,159
111,"三哥  更新慢点能接受，最重要的是玩法，刷元婴、化神的突破材料简直刷吐了，为了一个橙，读档一小时经常的事，这不像修仙，仙有飘渺之意，修仙途中要磨练心志、饱经苦难，但不是重复对一个怪杀来杀去。鬼谷八荒在我心中是个很好的苗子，希望化神、悟道能够改善突破方式，网上有很多很好的建议，限时通关（在规定时间才有橙），挑战心魔（跟自己一样的分身打），人间历练、加强天劫，都可以搞搞，
东西太多了，可以慢慢来，关键品质好，制作组大大们要注意身体啊，刚刚看到京东程序员猝死了，我们还想看到登仙呢[呲牙]",3767
112,这次能把双修有衣服的bug修复了吗？[抠鼻],2991
113,真的是单机当网游改，我需要你们策划教我玩单机游戏？,92
114,呐，我都元婴了怎么一个结晶的小子还敢在我面前唧唧咋咋的啊，希望后面的更新让这些人对高等阶的放尊重点,1469
115,"我本不想加入风灵月影宗，但这个重明我是真不知道怎么打了，好不容易打了一半血，结果它开了个回血吸收，我技能没收住，给它吸满了，我直接吐血。
第二遍我学乖了等它回血技能结束了再打，结果它回血一结束就放全屏大招，还有各种飞冲，放完继续回血，我能正常攻击它的时间感觉还不到3秒，给我打破防了[辣眼睛][辣眼睛]
另外，勾陈也太菜了吧，跟重明是一个档次的BOSS吗？[疑惑]",208
116,"3月27日14:00:官方：更新化神·悟道
3月28日14:00:玩家：等待羽化·登仙",3202
117,大哥，搞搞男npc立绘吧，，，我实在不愿意我辛苦捏出来的女儿嫁给那些歪瓜裂枣[大哭][大哭],1217
118,可以加一个密室修炼吗？老夫在修炼功法的时候，每个月还有几个人打扰老夫清修，万一老夫走火入魔，大开杀戒，对大家都不好嘛→_→,1147
119,此时散人正在迪士尼看你们的评论和弹幕,11646
120,"您即将看到:
“我妈变质了”
“地上这是个口红吗”
“墙上还挂了个特朗普”
“妹妹抽雪茄”
“妹妹等会儿姐先去姐先去姐忍不住了”
“耗砸？耗砸！！！”
“不是故意的，诚心的”
等精彩内容[doge]",5263
121,"其他up主：救妹妹
散人：我把这个灯用保龄球震下来砸死她
其他up主：救妈妈
散人：用牛奶能不能让妈妈滑倒啊
[脱单doge]",6565
122,当你以为他是一款恐怖游戏时，你会发现他其实是一款竞速游戏，小女孩用无数次的死亡与尝试告诉了我们一个发人深省的道理：做好时间规划，就是珍爱生命[doge],4083
123,鬼是逆时针旋转下降的，所以这个屋子在南半球。,1129
124,"突然觉得散老师特别适合那种“黑化不自知”“用可爱的语气一本正经说着恐怖的话还不自知”类型的角色[笑哭]
就是那种平常给人很亚撒西的印象，然后突然有一天就用很平常甚至有点可爱的语气一本正经的说出了可怕的话，别人惊讶之时他还觉得自己说的并没有什么问题的那种角色[笑哭]",3732
125,《关于我不知道怎么取名所以偷了粉丝的标题这件事》,1878
126,"正常人：妈妈尸变了。
散：妈妈变质了。

这就是天然黑吗[跪了]",3961
127,"直播时间:1.18
视频时间:3.24
感谢散老师百忙之中抽空发了这个迟到俩月的视频",2969
128,house不如赖活着,2237
129,虽然散人天然黑，但是第一次打救赎结局，第二次打全活结局，这就是天然黑又天然白马[热词系列_知识增加],552
130,"解释一下一个点，就是那个地下室里的尸体是谁？
其实那是妹妹的男朋友，由于主角的爸爸不想让他们两个在一起，并且主角的父亲已经等了，所以杀掉了他，妈妈也帮忙掩盖了事实。
？：其实在最后一个结局的时候去地下室是可以看见男孩的灵魂，他会告诉你这件事，只不过UP没有去，妹妹的抑郁症我怀疑也是因为男友的失踪导致了。",1086
131,"虚假的鬼：不敢直接动手、死不死人靠环境、俗套至极的动机和行为、不合逻辑、几年才杀两个人
真正的鬼：斧头砍人从不手软、死不死人看自己，砍不死还能读档、充满新意的动机和行为、非常科学、杀了比鬼杀的多得多的人、上层叙事投影",1134
132,"散老师：妈妈！咱家有怪物～
妈妈：哪儿啊！
散老师：厕所～
妈妈：老实呆着
散老师：妈妈，咱家有大耗子！
妈妈：介倒霉孩子，一会我揍你
妈妈：过来吃饭了。啊～
散老师：妈妈，变质了
妈妈：介倒霉孩子，我砍死你",543
133,散人干不死，所以追着别人往死里干[doge][doge],1810
134,"啊……
既然路过那就发条评论好了，反正闲着也是闲着。
   Okk各位好这里是Twy ☾，你们的野生课代表（bushi）。
   码字不易，求个点赞……？
   一共五个结局，真是疯狂啊。
   *除了更新的最新版本结局既第五个结局为真结局外其余都并非真结局。
    第一个结局:灭爸
拖到爸爸👨🏻回来的时间，然后一枪崩了他👨🏻。
     第二个结局:全祭
在解决猫猫🐱妈妈👩🏻妹妹👧🏻和洋娃娃👧🏿后去卫生间🚾找马桶🚽鬼👻得到完成任务的指示后站在客厅等爸爸👨🏻回来，看到完成任务的女儿🧑爸爸👨🏻放下了刀🔪并一把抱住了托比。
      第三个结局:“感化”
在努力解救下妹妹👧🏻和妈妈👩🏻后可以选择解决老鼠🐭，等到爸爸👨🏻回来的时间后拯救成功后的妹妹👧🏻会吹起笛子🎶，父亲会在笛子🎶的声音下放下手中的刀🔪，被“感化/忏悔”。
（至于为何要用引号是因为后续的日记中提示原本曲子是用于哄妹妹👧🏻睡💤的，但现在的托比听这首曲子只会感觉难受而不是开心，说明是被这首曲子洗脑而不是真正被感化。）
      但要注意这个结局只是表面上的好结局，妈妈👩🏻还在厨房里吃完三明治🥪睡着💤了。
也就是说明她被冰箱里的怪拖走吃掉了而猫猫🐱也被砸over了。
(因为处理起来很麻烦所以猫猫必须over，并且就算不死也会尸变。)
       第四个结局:救赎
在妈妈👩🏻不over的前提下将怪物强行拖至12点即可。
    （那时被救的妹妹👧🏻会出来吹笛子🎶，怪物也会自行over，也就是在第三个结局的前提下叠加出的结局。）
（这一家人真不少啊，爸爸👨🏻，妈妈👩🏻，托比，妹妹👧🏻，猫咪🐱，洋娃娃👧🏿……以及那只大老鼠🐭？）
     至于第五🖐🏻个结局🔚……会在回复里发的，具体看下回复楼层？
（🌿为什么感觉自己恶意卖萌）",1078
135,"这游戏没存档后期真的太吐了，当时在现场跟着散老师一回一回重复真的太恶心人了，每回时间都还很紧，真就千枝实模拟器呗。
不过游戏还是很好玩的，剧情虽然有点迷惑不过也没大问题，看散老师玩的也很欢乐。就是试错成本实在是太高了。
总而言之，希望大家视频看得开心呀~",570
136,《当玩家在恐怖游戏里面拿到了杀伤性武器》,221
137,house是一款画风清新，温馨治愈的可爱像素风游戏。主要情节是主角小姑娘凭借自己的努力，拯救了全家人的故事～欢迎大家都来玩[doge],1063
